STCNTYBR,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
1001,-0.10347816778575611,0.38135379546829823,4.652842170921673,-0.7922316892675706,4.055691415046601,2.8542864671326935,4.602839123849996,1.2295989756943506,3.769228169234574,4.653714348409704
1003,-0.5361840250377387,0.15712807549087035,-1.1555787606108483,6.353977216542978,4.021092752146922,9.293997117131795,2.3719799324265742,7.646810329768174,-0.001620450936268369,6.952316871398695
1005,-1.1996354180628903,1.1022778147087953,-4.9691260698526865,-8.182207558093015,2.425452513622826,2.4488447688661896,3.420101953332047,0.79852623374783,0.5150122075232083,-0.8832497249314659
1007,-1.9798875802387494,1.348718455749356,1.0013772523814988,-4.239652282605608,0.27114742231952677,0.9218934911242603,0.629697815405903,0.5692411671483173,4.027020607268451,5.3942971708621075
1009,-5.936810319755009,31.278376344501613,-6.04910776136773,-2.557627259237412,1.2088078392796338,-0.45475785499336463,3.2446012501478663,4.1479875676766875,6.4245239363327595,5.540022577511748
1011,-10.686363025145514,-12.899872384967237,-5.248211772259217,-2.163091918375857,1.950756062260817,1.3403588225047902,-0.9599601234111672,-2.5259887888096353,2.410732567145312,-7.12627891410739
1013,-0.9319115925855359,-2.5211815655984586,2.2150427013162712,-2.4059092992875337,-1.5006763462468964,0.4001577682957438,2.7435126390148783,0.8794249325658352,-1.9399210248847418,-1.090699537577129
1015,1.2542679952616542,-3.0019909038993466,2.479330099171959,0.8511255931006295,-4.280471957501184,0.5919195960678773,7.132971394942911,3.3140537454510643,6.602520384968096,4.74054427371955
1017,4.00904409324092,-3.9831145769481116,3.1101092536527575,-4.2038610925826045,-0.7855836406704446,-2.33041527731606,3.4487263675776405,3.01968812730149,4.832278419758822,3.9608317408149385
1019,-1.2720874654221788,-2.2624606880777662,-0.14353133897577908,0.8651600253103249,1.6403536286434552,2.3309064170409908,2.4297165578891327,0.9356019439002315,1.118869534842685,1.4455231162615119
1021,-4.102464322330068,-4.789106090756564,-2.9722094726028896,0.0965802700305509,-0.5620442884147988,2.8747630767489887,1.9760650292037445,2.8489529120532415,-5.285485431420309,4.114947237877999
1023,-1.9831525428361858,-0.17755384715495523,0.27891080441787264,-1.818325339078672,0.9983589268232701,-3.6467844800944005,-0.025756913058268945,0.28971839954889483,1.471550508208402,0.7375244209430186
1025,6.549257869525989,-1.7104842343979416,-1.3594035115613081,-3.358285883503953,-0.5342999216489407,-0.16085853612882722,5.424491453926194,2.5424953318118497,2.146151469878909,5.959368903964954
