STNAMEBR,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Alabama,-1.6421464112801887,2.630407428912582,0.44731890544243796,1.7818205309870716,3.2535314697127795,2.855715368719652,6.199892815382688,3.4115665298954254,0.505161231906084,6.620774524979854
Alaska,-59.72853025238229,4.447510087488707,8.97560320202935,-0.11532257475895392,5.283560712902542,7.68673788673164,4.969910552984932,0.9699842790243752,-2.1428464599340256,-0.8951232899167229
Arizona,4.725397960813291,-1.6126089774782975,2.3548699283238284,5.881344262205889,5.840886780101149,8.64329808961609,8.571239976853992,8.747598050357844,5.58525936790706,7.729943540969241
Arkansas,4.821088297883518,2.1833664087460605,2.684710112336728,-0.501293836447182,1.3087422479811273,4.991317240099371,7.562003602799935,5.581121040064367,3.8954525186872666,6.543056195254544
California,1.3594188271234042,4.648813234129119,7.73804330006264,6.537375783500203,6.917461926970257,6.916798421962715,9.324516932774578,6.6176959285861106,3.2439882541585114,4.470576515116852
Colorado,5.955002674264171,5.6675759324834365,3.359313139223272,6.064220800790605,3.5385811200386996,6.676875630731546,7.38225242484115,5.781492847477035,3.822665984845841,3.626848684884994
Connecticut,5.728131709120381,5.9213561359112425,1.1296049192014976,4.322444144713158,5.702063698008463,6.365378080342182,7.323299685116437,3.1555861270458294,1.6837855236820294,3.159718163322589
Delaware,70.17122735576628,11.393563736798177,12.482265293590876,8.934081617060771,4.869806697018958,-17.082884448150264,3.4963092347383546,0.5342678912251998,11.241030053190478,-4.950883228970764
District of Columbia,18.66129789767693,15.733976800884648,4.642701517761324,10.0523663262274,13.292732284683915,8.381434583550314,2.7251794109238507,2.478020781909095,9.136787695905802,3.6524836109432974
Florida,2.223263812521926,0.3083385955736385,3.101057124339035,4.0576370280062255,4.818812916186943,8.773438648005387,7.700950542577514,4.08610104778352,3.90906108204958,3.0105006579874303
Georgia,-2.8328798658126755,1.164365262380436,1.7915929178171075,0.7513120399930867,4.9884387714270435,8.263650776638697,5.642665487734573,6.8833077834889345,3.9585969413099384,2.391489458006116
Hawaii,-1.1350770617639168,6.673386332874874,9.687597778754425,1.8430355128455689,8.28393082380575,5.007385320429949,6.116107785698669,8.475569021882732,1.4207111671496857,-0.027460516224697987
Idaho,3.722588120011016,1.0997218034254377,3.3057982654640474,3.7715361714299642,1.6117424285499702,5.936213170275477,6.576206784762142,7.944626100244206,3.5161957242230812,3.7595510066946094
Illinois,0.2994287607763311,2.5382406969213434,5.9520428411537525,3.930062827747724,6.638687605108244,6.846771226027879,1.6794942378387028,1.3203525354861447,0.6467120874657512,3.6494150052595002
Indiana,4.550365049779081,1.0613169288836397,2.685846777511134,2.9602078309243196,2.6758002240689187,4.9956776757030825,4.74328145296861,4.764682283627125,5.597488889106398,4.964342397787702
Iowa,3.281075544603731,5.328116826696015,3.985995539421925,1.4416291936550871,2.442621052852007,3.4587707464121284,2.776182331369077,4.246073575072255,3.3879325791319963,3.8116511864398452
Kansas,3.92729796412777,1.7708579317057673,2.971488082399789,2.602180762975512,2.848777600269399,2.672529405960803,3.2593951148539517,4.188132536592989,1.765278725564158,2.4288044295919327
Kentucky,0.2401366670252085,0.27744770760639365,2.6835979645026002,-0.5468657127260692,1.0936130465108866,4.810395583424374,2.404196346535604,3.6165353781033,3.165702002247777,2.997646871740867
Louisiana,5.061105547629674,4.832605494385609,2.2485159637531322,5.3353502579782015,2.827902277418329,3.9718797821728753,2.178572217371041,2.5001044062941227,-1.1344658195824018,2.8561872195020803
Maine,-40.829891417791345,11.216723548993395,9.401226807342365,12.377029752646601,0.1363341961445939,-34.03471009405941,7.479671085032017,4.229384738278979,5.3527630611898696,8.113538172691177
Maryland,4.287053827585049,2.784307902342157,4.21516635515518,0.35554765464369403,1.9446659138406948,5.658344736506691,4.256165734039174,4.930802443091108,1.4731669920664598,3.2279701274114685
Massachusetts,8.07450688558087,12.731112124143639,17.371180431957857,6.214013758169479,20.049598289853137,7.290042635366942,-4.057535123129751,-1.78487814049452,13.52865216937102,2.5529041949723132
Michigan,-4.927301237495863,1.275385434970354,5.671980656040819,1.3715367759436234,4.749405516792561,7.687137693625104,5.176576255321139,5.091316112390469,3.290606836694031,4.475946758359777
Minnesota,12.414249882025775,16.05401729359985,33.557851115821585,5.44893323406994,20.256886293266625,-16.389126126641063,4.211161351504297,5.458217418602431,-1.523211654271919,2.435963832790115
Mississippi,2.254884268769106,3.149729551569616,-0.21366300020912465,2.6410261865628835,0.49563371200483525,3.475997298208316,2.168095350857058,4.781879683344817,1.4038897486295923,2.4586246561939706
Missouri,4.1221203501647095,1.9891741210724667,7.803797920846785,6.209010077771431,4.715075120711263,-0.3435435152825821,5.623808696774684,6.948685294942915,-8.173161030966062,4.5307881561408445
Montana,6.16078195834095,2.63954668851694,4.922640172382832,5.228171185822926,3.658905867831402,3.5661434698549184,4.511262591645716,3.099257794325027,3.290423001592263,2.9537303215130803
Nebraska,-7.098605042375711,11.281769336208395,7.9098875887087114,6.7017894523835775,5.3635825657872305,3.9582068753369795,4.477800679536545,2.0020416270387225,0.10949937751705605,4.22952850784313
Nevada,-5.92739450721914,41.15087435926309,-56.386840087710844,18.45273210005549,11.04280087392602,13.935005650919674,20.75397224568786,13.095067487377504,18.6093918520985,1.832166800262094
New Hampshire,5.383347749172629,2.7122435552864634,3.079228783010516,1.160281749191464,2.330247085717159,8.22189137102647,2.0074469998882774,3.6948170040462225,4.0822588347335165,2.8188185457662436
New Jersey,-1.4283519476148183,3.6136586956167642,5.107612309733056,2.9312787373973026,3.626308323443622,5.383855925241903,3.9905085752278877,5.503727971831331,0.8672949689590416,2.678087550844669
New Mexico,3.808651137205141,1.7001543617319395,-0.18012891089989994,3.7293971319798573,4.130630096035209,6.640248737790092,1.7474475533611995,-0.4056476429729752,2.5402516484555364,2.80902365304141
New York,8.066161325241618,15.833237905706248,7.62398592440358,7.716064843122425,12.662474232759996,6.788922005663241,11.099429195610044,9.707972086271527,0.49126439054167964,3.1418830859639777
North Carolina,-31.904191516346614,37.02642971530775,20.249447192477664,1.8416580247872845,-2.350741586134562,3.966179362340511,-1.6930392665110947,4.587309639305606,0.8413847196370995,-0.3935444720443277
North Dakota,5.247148612207668,8.78742526635969,11.294150175878617,8.522602292246864,7.549572084562273,4.112815319195526,1.0723480494555735,4.420455806477736,1.873858309801213,6.054237146493026
Ohio,-3.851591489803436,3.1224666628519286,4.5052461591130255,5.744764867146199,5.257253127596974,8.660096510028502,9.699769045290243,3.9712415936374237,1.9863004850916406,7.5723450435297215
Oklahoma,2.390208013730684,3.0422483233651447,4.619947779645391,1.959680358422132,4.632446313881998,4.638489976504208,0.7668126150858903,3.0327359773507796,0.8583802730098582,6.30024659308883
Oregon,1.9705248986870003,12.795253248387237,9.372010115456943,-11.47539678471617,5.7922791534344045,6.042167985931853,8.29165286394008,6.638676365041675,2.3787698538124697,2.7741063745123316
Pennsylvania,-3.0570081735672137,5.07296535143286,4.070757022771302,0.9083267668963613,0.9796708810810467,11.901962314980258,2.675319885548083,6.506673934804483,1.4102926153393192,5.256514360026416
Rhode Island,40.3505440286807,9.677108664364956,2.8252507895312893,-35.815436057301056,-6.110238505979767,3.5313311687472044,2.664188477942575,5.108070312934204,16.0368531593222,-11.475962008277534
South Carolina,0.6520838667406165,-3.385650577852295,-0.7141001962113581,1.630067243200903,2.0781234097908916,7.434936963427859,5.21466414613482,6.93877836651839,1.705334053770128,3.99844658211473
South Dakota,23.798381677090354,-20.968150368898932,271.0402630787295,19.419151368204176,11.096950624524213,7.778450828586308,0.8373781640550026,18.13159392429926,12.380468444185082,14.74170215096972
Tennessee,3.2573987861845644,1.769867336201315,1.4387853896693545,0.1339402717894822,3.02107761306759,7.579470714712956,5.243938252346679,6.709105714184947,4.961438336968624,3.4912057366373968
Texas,5.694010798990269,8.918503028840687,10.169920271747255,8.85131375153459,10.391864308257956,1.4852714468982449,5.291635368032452,6.365430286206284,2.6892937867873865,4.528157178715604
Utah,-12.51158143810678,8.007989268958893,15.618366158513677,15.53283077124048,14.33447575413095,14.920368243515938,9.235402350751498,-17.05082883231121,12.158093913676387,9.80754542867437
Vermont,3.0738250283468833,2.751263377456502,7.1536815578725115,0.3457874924627297,0.26313591569842804,2.671538382894546,4.372581859991467,4.100529173899645,1.432268632767364,2.9805331161257564
Virginia,0.7522829798912846,6.3902130281646015,9.132922607228315,-3.2141588941482926,-0.34140441012083084,15.97114643661405,3.1931149852136054,7.1308641268554185,5.0030248246245295,3.7841124255731877
Washington,-3.6308785151205814,0.041254843081255724,3.6594552173067467,3.9820272619089323,4.4315363013081,9.895740406830186,5.8616591391776325,7.542025084394159,4.693425393215104,2.1374170764003675
West Virginia,1.801771022725022,1.2816066824480195,3.862459550588854,1.1389866570706113,1.2382615285542706,2.185278494585783,-0.4766088773181547,4.48893885799932,1.0176855096592659,2.8540074140497476
Wisconsin,0.6966635572311112,1.5535002122412578,3.2528932127175962,-2.3325712078166734,5.23735370907875,2.749824641555883,2.3116582747913306,8.034598709077862,-3.1734625715877254,0.7427053858161365
Wyoming,2.537760372921574,3.229389273555811,4.791685799124499,3.716519193860769,3.237301905485946,6.377055614830517,4.282930269678353,-0.7372317501778974,2.484827450905476,2.3114148662045664
