STNAMEBR,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Hawaii,-2.0689655172413794,-0.35211267605633806,-1.0600706713780919,0.0,0.7142857142857143,-1.0638297872340425,-1.0752688172043012,-1.0869565217391304,-0.7326007326007326,-0.7380073800738007
Idaho,-0.3683241252302026,-0.7393715341959335,-0.186219739292365,-0.9328358208955223,-2.0715630885122414,-0.576923076923077,-2.9013539651837523,-1.1952191235059761,-1.2096774193548387,-4.285714285714286
Illinois,-0.9420725596311886,-0.3237555645487657,-0.7917174177831912,-1.3300593411090649,-2.5922853587722936,-1.447732595273579,-2.7219701879455602,-2.620475238729736,-1.8015963511972635,-2.066883418485834
Indiana,-1.0309278350515463,-0.5833333333333334,-1.4249790444258172,-2.891156462585034,-2.7583187390542907,-1.6208914903196758,-2.745995423340961,-2.588235294117647,-2.8019323671497585,-2.286282306163022
Iowa,-1.0378510378510377,-0.4935225169648365,-0.8679479231246126,-0.5003126954346466,-0.502828409805154,-1.3265950726468732,-0.8322663252240717,-0.7101355713363461,-1.2353706111833551,-0.6583278472679395
Kansas,-0.5098789037603569,-0.12812299807815503,-1.6677357280307887,-0.9784735812133072,-1.7786561264822136,-1.2743125419181758,-0.4755434782608696,-0.8873720136518772,-0.8953168044077136,0.0
Kentucky,-1.7213555675094134,-1.0399562123700055,-1.4933628318584071,-1.6282987085906795,-1.5981735159817352,-1.334106728538283,-0.7054673721340388,-1.4801657785671996,-1.7427884615384617,-2.2018348623853212
Louisiana,1.0410287813839558,-0.24242424242424243,-0.9113001215066828,0.1226241569589209,-2.449479485609308,-0.5649717514124294,-1.8308080808080809,-2.1864951768488745,-3.2873109796186717,-2.515295717199184
Maine,-1.9193857965451053,1.5655577299412915,-0.3853564547206166,-0.3868471953578337,-3.1067961165048543,0.4008016032064128,-2.9940119760479043,-0.411522633744856,-2.479338842975207,-1.9067796610169492
Maryland,-2.1161150298426477,-1.0532150776053215,-1.8487394957983194,-1.5981735159817352,-3.1902552204176335,-3.055721989215099,-1.6687268232385661,-3.0798240100565684,-3.3073929961089497,-3.0181086519114686
Massachusetts,-1.247216035634744,0.2706359945872801,-0.5847953216374269,0.36199095022624433,0.40577096483318303,-1.6165244723843737,0.045641259698767686,-0.7299270072992701,-0.9650735294117647,-0.8352668213457077
Michigan,-2.4959481361426255,-0.9973404255319149,-0.9738079247817327,-1.0512037978975926,-2.467443454420836,-3.6191145467322556,-1.0572366022602988,-4.23728813559322,-3.270488649480569,-3.5003977724741446
Minnesota,-1.2861736334405145,-1.1400651465798046,-1.098297638660077,-1.3881177123820099,-1.3513513513513513,-0.3995433789954338,-0.40114613180515757,-2.128883774453395,-1.1169900058788949,-0.89179548156956
Mississippi,0.8340283569641368,0.49627791563275436,-0.9876543209876543,-0.7481296758104738,-1.4237855946398659,-1.5293118096856415,0.08628127696289906,-1.206896551724138,-0.34904013961605584,-0.7880910683012259
Missouri,-0.4495300367797303,0.0,-0.5336617405582923,-1.1968633924886503,-0.8771929824561403,-0.8006742520016856,-0.3823279524214104,-1.6631130063965887,-0.6071118820468344,-0.5671902268760907
Montana,0.7712082262210797,0.0,0.5102040816326531,0.7614213197969544,0.5037783375314862,-1.7543859649122806,-1.7857142857142856,-0.5194805194805194,-1.0443864229765014,0.79155672823219
Nebraska,0.27548209366391185,0.09157509157509157,-1.0064043915827996,0.7393715341959335,0.0,-1.4678899082568808,0.0,0.5586592178770949,-0.5555555555555556,0.0
Nevada,-8.02675585284281,-0.18181818181818182,-0.9107468123861567,-1.6544117647058825,-1.4953271028037385,-4.364326375711575,-0.1984126984126984,-1.1928429423459244,-0.4024144869215292,-0.6060606060606061
New Hampshire,0.6976744186046512,0.4618937644341801,-1.3793103448275863,0.6993006993006993,-0.23148148148148145,-0.23201856148491878,-0.23255813953488372,-1.6317016317016315,-1.1848341232227488,-1.9184652278177456
New Jersey,-0.2986857825567503,-0.5392450569203115,-1.2951807228915664,-1.098565761367104,-2.159827213822894,-1.860611794386629,-2.0886889460154245,-2.231703314735806,-3.088284659281638,-2.667128507100797
New Mexico,-1.153846153846154,-0.38910505836575876,0.0,0.390625,-0.7782101167315175,-2.549019607843137,-2.0120724346076457,-3.0800821355236137,-1.059322033898305,-2.569593147751606
New York,1.1819021237303784,0.34677860923526194,-1.0367406329574391,-1.084359492740305,-1.3749535488665925,-0.7159005275056519,-1.8026565464895636,-2.647342995169082,-1.5482334259626835,-3.326612903225806
North Carolina,-0.39426523297491045,-0.6836991723641598,-1.4492753623188406,-3.161764705882353,-2.3917995444191344,-1.7113963438350837,-1.820340324495449,-2.539298669891173,-4.3424317617866,-2.7669693039342844
North Dakota,-0.22471910112359553,-1.1261261261261262,0.0,-0.45558086560364464,-1.8306636155606408,0.0,0.0,-0.2331002331002331,-0.23364485981308408,-0.936768149882904
Ohio,-0.9620128268376912,0.7222914072229141,-0.44510385756676557,-1.2170889220069547,-2.464168971586623,-1.0311936065996392,-1.4326647564469914,-3.039112050739958,-1.9623875715453802,-1.9182652210175146
Oklahoma,1.0744985673352434,-0.21261516654854712,-0.78125,-0.8589835361488906,-0.2888086642599278,-2.172338884866039,-0.07401924500370095,0.07407407407407407,-0.44411547002220575,-0.5204460966542751
Oregon,0.35714285714285715,0.7117437722419928,-0.6183745583038869,-2.2222222222222223,-3.1818181818181817,-1.5962441314553992,-2.099236641221374,-2.241715399610136,-3.090727816550349,-2.880658436213992
Pennsylvania,-1.46168302359574,-0.19071837253655435,-1.337579617834395,-1.355713363460297,-2.3342059336823735,-1.8762564217109672,-2.1170043250625996,-1.8604651162790697,-2.322274881516588,-2.5958272683163512
Rhode Island,1.968503937007874,0.3861003861003861,-0.38461538461538464,-0.3861003861003861,1.1627906976744187,0.7662835249042145,-0.38022813688212925,-1.5267175572519083,-2.7131782945736433,0.398406374501992
South Carolina,-0.3417634996582365,-1.1659807956104253,-2.7758501040943786,-1.7844396859386153,-1.308139534883721,-2.503681885125184,-2.719033232628399,-1.0869565217391304,-3.767660910518053,-2.691680261011419
South Dakota,0.4123711340206186,-1.4373716632443532,-1.0416666666666665,-1.4736842105263157,-1.282051282051282,1.0822510822510822,0.6423982869379015,-1.0638297872340425,-0.6451612903225806,-1.0822510822510822
Tennessee,-1.4579759862778732,-0.2175805047867711,-0.7849978194505015,-0.7032967032967032,-1.6821602478973,-1.5758667266996849,-1.463860933211345,-1.8105849582172702,-2.931442080378251,-1.071602532878714
Texas,0.24467472654001152,-1.2921751615218953,-0.27636363636363637,-0.043757292882147025,-0.6566467240624544,-1.1457109283196238,-0.7280832095096582,-2.6493039964077236,-1.276137761377614,-0.32705186108082857
Utah,-3.6799999999999997,0.33222591362126247,-0.9933774834437087,-1.839464882943144,-2.0442930153321974,-0.8695652173913043,-4.56140350877193,-1.4705882352941175,-2.2388059701492535,-2.2900763358778624
Vermont,-0.37453183520599254,0.0,-3.3834586466165413,-0.38910505836575876,-1.953125,-1.1952191235059761,-2.0161290322580645,-1.646090534979424,-1.2552301255230125,-0.423728813559322
Virginia,0.4867090977162112,0.11177347242921014,-1.6002977298101972,-1.361573373676248,-2.7223926380368098,-0.5124162396531337,-1.9017432646592711,-3.5137318255250403,-3.9347007115948096,-3.093681917211329
Washington,-1.7151767151767152,0.0,-0.7932310946589107,-0.6396588486140725,-1.7167381974248928,-2.2379912663755457,-1.8425460636515913,-0.9670079635949944,-1.4359563469270535,-2.6806526806526807
West Virginia,-0.5988023952095809,1.0542168674698795,0.0,-0.14903129657228018,-1.3432835820895521,-0.6051437216338881,-1.5220700152207,-1.3910355486862442,-3.1347962382445136,-1.6181229773462782
Wisconsin,-1.5494137353433837,-1.3185878349638451,-1.4224137931034484,-0.9619588981198076,-2.7373068432671084,-1.5887426236949616,-1.7988929889298892,-4.462188821042743,-3.146509341199607,-2.5888324873096447
Wyoming,0.0,-1.702127659574468,-1.2987012987012987,0.43859649122807015,0.43668122270742354,-2.1739130434782608,-0.4444444444444444,-0.8928571428571428,-1.3513513513513513,0.45662100456621
